### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s
ips_ddr_v1,2026-05-24 05:50,250,0.0001,0.1,16,10,10,512,8,5,resnet18,True,0.442059,55,0.856972,153,0.884213,105,0.673111,64,0.00319,1.040641,0.999361,0.840591,0.999341,0.873584,0.999408,0.627605,6526.6,616.1,1141.5,74.0

### COURBES PAR EPOQUE
epoch,lr,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
118,5.612e-05,0.079659,0.973163,0.974761,0.948646,0.649204,0.8334,0.874936,0.616797
119,5.548e-05,0.080014,0.970927,0.970867,0.947837,0.586545,0.852177,0.878622,0.648044
120,5.485e-05,0.075875,0.974601,0.977478,0.949789,0.642193,0.850579,0.878199,0.642529
121,5.421e-05,0.071017,0.976518,0.977781,0.95693,0.74039,0.844187,0.87591,0.626813
122,5.357e-05,0.078767,0.969808,0.972929,0.93648,0.780282,0.82541,0.867771,0.636449
123,5.293e-05,0.074938,0.973962,0.975196,0.945759,0.777434,0.838194,0.8603,0.644888
124,5.229e-05,0.085382,0.969808,0.972309,0.944467,0.68285,0.830204,0.878802,0.622548
125,5.165e-05,0.072101,0.976518,0.976416,0.960455,0.661574,0.847383,0.86799,0.636302
126,5.101e-05,0.067938,0.976518,0.978425,0.958187,0.689776,0.839393,0.86677,0.652842
127,5.037e-05,0.069185,0.976997,0.977509,0.963207,0.915176,0.798242,0.861997,0.592205
128,4.973e-05,0.073778,0.973962,0.975023,0.950788,0.665166,0.843388,0.874661,0.644724
129,4.909e-05,0.066583,0.977316,0.978153,0.959115,0.751596,0.836996,0.854946,0.650918
130,4.845e-05,0.055204,0.98099,0.981956,0.969684,0.777812,0.827407,0.854006,0.61943
131,4.781e-05,0.072377,0.976038,0.977291,0.954706,0.826194,0.802237,0.855958,0.60036
132,4.717e-05,0.057976,0.98099,0.983943,0.965913,0.949038,0.812225,0.844884,0.572292
133,4.653e-05,0.064206,0.975879,0.975265,0.964529,0.909712,0.809429,0.86604,0.605034
134,4.589e-05,0.077088,0.972204,0.969148,0.95827,0.830124,0.817819,0.864221,0.622911
135,4.525e-05,0.058539,0.980671,0.980181,0.965975,0.860486,0.821414,0.86445,0.61
136,4.462e-05,0.051178,0.982907,0.98438,0.968384,0.668199,0.850979,0.882904,0.63963
137,4.398e-05,0.053684,0.980032,0.980463,0.964103,0.833285,0.830603,0.863902,0.617568
138,4.335e-05,0.056215,0.979073,0.9812,0.964488,0.798104,0.828606,0.864734,0.626938
139,4.271e-05,0.060811,0.979712,0.980975,0.958561,0.817567,0.829005,0.872151,0.616422
140,4.208e-05,0.046411,0.984026,0.984947,0.96545,0.897029,0.806233,0.856722,0.589453
141,4.145e-05,0.047132,0.983546,0.983125,0.972355,0.853203,0.839393,0.867007,0.617803
142,4.082e-05,0.049785,0.984026,0.983869,0.975129,0.913157,0.817819,0.860278,0.61575
143,4.019e-05,0.069989,0.976677,0.977813,0.958465,0.771747,0.827008,0.870924,0.629569
144,3.956e-05,0.052702,0.981949,0.980176,0.971926,0.795771,0.835797,0.858381,0.614797
145,3.894e-05,0.049503,0.982907,0.981509,0.969522,0.751633,0.845785,0.871777,0.633546
146,3.831e-05,0.047422,0.983387,0.983841,0.970843,0.819138,0.823012,0.863535,0.607936
147,3.769e-05,0.049119,0.981629,0.981261,0.969383,0.846665,0.833,0.867406,0.625959
148,3.707e-05,0.041121,0.985623,0.985867,0.971307,0.783398,0.827807,0.872164,0.624443
149,3.645e-05,0.041879,0.986262,0.984989,0.979347,0.794957,0.829804,0.864593,0.619501
150,3.584e-05,0.042185,0.985623,0.98495,0.975877,0.85454,0.828206,0.860276,0.628134
151,3.523e-05,0.042132,0.985623,0.985543,0.974911,0.906559,0.813424,0.865946,0.622613
152,3.461e-05,0.054041,0.983227,0.983863,0.968618,0.796906,0.836996,0.861661,0.619616
153,3.401e-05,0.036705,0.98754,0.9886,0.97538,0.72813,0.856972,0.879217,0.648433
154,3.34e-05,0.035806,0.986901,0.987163,0.976469,0.850862,0.842589,0.872,0.644307
155,3.28e-05,0.038525,0.98754,0.989512,0.973733,0.828332,0.830204,0.862059,0.626089
156,3.22e-05,0.035574,0.988019,0.98767,0.980309,0.891737,0.817419,0.863978,0.604585
157,3.16e-05,0.046721,0.984665,0.983407,0.97943,0.793722,0.838594,0.874017,0.638865
158,3.101e-05,0.034108,0.988339,0.98946,0.98222,0.868805,0.831003,0.86984,0.63249
159,3.042e-05,0.035758,0.98754,0.988592,0.972327,0.830499,0.831402,0.867226,0.643071
160,2.983e-05,0.036769,0.986581,0.984037,0.979836,0.932151,0.814223,0.844286,0.601255
161,2.925e-05,0.035778,0.989137,0.989848,0.980547,0.844412,0.836996,0.871208,0.631454
162,2.867e-05,0.032972,0.989457,0.990464,0.983075,0.794653,0.838993,0.869742,0.632237
163,2.809e-05,0.033083,0.988818,0.98886,0.979602,0.811163,0.838594,0.870132,0.627861
164,2.752e-05,0.034569,0.988658,0.989558,0.978928,0.865727,0.829405,0.868506,0.626866
165,2.695e-05,0.029934,0.990096,0.98971,0.982271,0.922734,0.824211,0.868505,0.61614
166,2.638e-05,0.026428,0.990735,0.991138,0.984605,0.822018,0.836197,0.875748,0.63123
167,2.582e-05,0.029221,0.989776,0.988221,0.985546,0.861844,0.832201,0.860641,0.614382
168,2.526e-05,0.025337,0.990895,0.990574,0.984177,0.827219,0.8334,0.876267,0.635603
169,2.471e-05,0.023592,0.991214,0.992653,0.983773,0.818711,0.846584,0.872507,0.6314
170,2.416e-05,0.025269,0.991374,0.990726,0.985489,0.870281,0.832601,0.873605,0.623929
171,2.361e-05,0.033618,0.989137,0.989862,0.977176,0.875806,0.832201,0.875692,0.624688
172,2.307e-05,0.021791,0.99361,0.993459,0.989328,0.898606,0.837395,0.865794,0.634416
173,2.253e-05,0.034345,0.98754,0.988119,0.977552,0.815299,0.840192,0.865035,0.63752
174,2.2e-05,0.026956,0.990415,0.991474,0.981364,0.783521,0.848582,0.875469,0.654804
175,2.147e-05,0.020738,0.992652,0.992641,0.989303,0.927177,0.836996,0.864042,0.626295
176,2.095e-05,0.020788,0.994728,0.99407,0.992363,0.857207,0.850979,0.878342,0.644621
177,2.043e-05,0.031141,0.990256,0.991282,0.982673,0.839284,0.839393,0.871712,0.631304
178,1.992e-05,0.021503,0.992971,0.992747,0.990243,0.972554,0.81662,0.86622,0.606268
179,1.941e-05,0.023299,0.991693,0.99174,0.982837,0.865243,0.839393,0.870457,0.627221
180,1.891e-05,0.014505,0.994569,0.994371,0.991055,0.907338,0.84139,0.869616,0.636017
181,1.841e-05,0.021437,0.994089,0.994621,0.992115,0.873515,0.834598,0.871076,0.62145
182,1.792e-05,0.015739,0.995048,0.995282,0.987531,0.975371,0.834199,0.868488,0.634926
183,1.743e-05,0.017105,0.99377,0.993916,0.990384,0.890984,0.844187,0.8773,0.630656
184,1.695e-05,0.015495,0.995367,0.994578,0.994027,0.87276,0.843388,0.874769,0.648322
185,1.647e-05,0.024823,0.991374,0.990775,0.985975,0.895544,0.847383,0.875527,0.635479
186,1.6e-05,0.014618,0.995208,0.995436,0.994107,0.8647,0.842189,0.879217,0.620747
187,1.553e-05,0.015321,0.995048,0.995541,0.992831,0.86322,0.846185,0.871829,0.643324
188,1.507e-05,0.02172,0.99361,0.993402,0.98974,0.998599,0.816221,0.874488,0.610506
189,1.462e-05,0.015301,0.994569,0.995239,0.9885,0.899775,0.843388,0.878162,0.628822
190,1.417e-05,0.017581,0.994089,0.994774,0.989029,0.831249,0.84978,0.87981,0.636466
191,1.373e-05,0.015945,0.994888,0.995639,0.990935,0.910385,0.840192,0.871088,0.623873
192,1.329e-05,0.018824,0.994888,0.995182,0.99303,0.961558,0.834199,0.873635,0.628583
193,1.286e-05,0.016101,0.994569,0.995996,0.98705,0.899837,0.846584,0.871234,0.649439
194,1.243e-05,0.013424,0.995527,0.995387,0.990524,0.991014,0.831802,0.857474,0.614896
195,1.202e-05,0.015922,0.994089,0.994174,0.991203,0.904371,0.838594,0.869446,0.62899
196,1.16e-05,0.01075,0.996166,0.996351,0.995192,0.945508,0.838194,0.866945,0.635252
197,1.12e-05,0.013805,0.995847,0.995337,0.993229,0.928427,0.838993,0.861627,0.627053
198,1.08e-05,0.010978,0.996326,0.997161,0.993972,0.960783,0.840591,0.8681,0.626218
199,1.041e-05,0.011646,0.996326,0.994725,0.996592,0.958795,0.835398,0.869182,0.623248
200,1.002e-05,0.009199,0.997284,0.996857,0.996299,0.982212,0.840591,0.869767,0.638123
201,9.64e-06,0.009428,0.997764,0.997162,0.995988,1.036121,0.834598,0.871256,0.617971
202,9.27e-06,0.010162,0.996166,0.995894,0.995824,1.029364,0.835398,0.874101,0.61394
203,8.9e-06,0.011795,0.996486,0.995233,0.99409,1.059706,0.826608,0.867847,0.606263
204,8.54e-06,0.008041,0.996805,0.997468,0.991902,1.081027,0.829405,0.866819,0.624391
205,8.19e-06,0.009928,0.997604,0.997264,0.995737,1.024695,0.840192,0.865769,0.630906
